Timestamp,FPS,FrameTime_ms,GC_AllocBytes,ActiveEnemyCount,HeapMB
2026-06-20 19:01:13,0.1,7570.73,993177600,9,1864.67
2026-06-20 19:01:16,0.3,3045.34,1003167744,9,1917.03
2026-06-20 19:01:17,189.4,5.28,1004417024,9,1919.49
2026-06-20 19:01:18,191.1,5.23,1004625920,9,2058.33
2026-06-20 19:01:19,233.8,4.28,1005133824,9,2196.89
2026-06-20 19:01:20,156.7,6.38,1005465600,9,2339.44
2026-06-20 19:01:21,77.1,12.97,1005703168,9,2450.07
2026-06-20 19:01:22,99.7,10.03,1006407680,9,2577.34
2026-06-20 19:01:23,465.6,2.15,1007046656,9,2716.25
2026-06-20 19:01:24,211.9,4.72,1007763456,9,2859.76
2026-06-20 19:01:25,247.9,4.03,1008451584,9,3004.85
2026-06-20 19:01:26,209.1,4.78,1009192960,9,3153.65
2026-06-20 19:01:27,197.9,5.05,1009889280,9,3302.48
2026-06-20 19:01:28,213.8,4.68,1010597888,9,3408.95
2026-06-20 19:01:29,218.7,4.57,1011859456,9,3414.18
2026-06-20 19:01:30,197.4,5.06,1013526528,9,3415.98
2026-06-20 19:01:31,190.0,5.26,1015353344,9,3415.91
2026-06-20 19:01:32,81.5,12.26,1017278464,9,3408.10
2026-06-20 19:01:33,522.2,1.91,1019125760,9,3399.14
2026-06-20 19:01:34,338.9,2.95,1020968960,9,3391.43
2026-06-20 19:01:35,100.7,9.93,1022861312,9,3389.50
2026-06-20 19:01:36,214.3,4.67,1024827392,9,3389.76
2026-06-20 19:01:37,148.7,6.72,1026269184,9,3393.80
2026-06-20 19:01:38,187.9,5.32,1027780608,9,3398.03
2026-06-20 19:01:39,178.1,5.61,1029607424,9,3400.95
2026-06-20 19:01:40,174.5,5.73,1030791168,9,3402.88
2026-06-20 19:01:41,181.3,5.52,1032761344,9,3399.79
2026-06-20 19:01:42,184.2,5.43,1034682368,9,3395.88
2026-06-20 19:01:43,173.3,5.77,1036591104,9,3396.78
2026-06-20 19:01:44,176.3,5.67,1038553088,9,3399.56
2026-06-20 19:01:45,175.1,5.71,1039921152,9,3405.80
2026-06-20 19:01:46,190.9,5.24,1041813504,9,3415.70
2026-06-20 19:01:47,171.5,5.83,1043730432,9,3420.99
2026-06-20 19:01:48,104.2,9.59,1045585920,9,3425.75
2026-06-20 19:01:49,158.7,6.30,1047232512,9,3426.81
2026-06-20 19:01:50,86.3,11.59,1048846336,9,3427.99
2026-06-20 19:01:51,88.4,11.32,1050804224,9,3426.81
2026-06-20 19:01:52,62.0,16.14,1052512256,9,3427.59
2026-06-20 19:01:53,128.4,7.79,1053884416,9,3431.29
2026-06-20 19:01:54,223.9,4.47,1055809536,9,3435.56
2026-06-20 19:01:55,263.9,3.79,1057759232,9,3441.53
2026-06-20 19:01:56,205.0,4.88,1059729408,9,3447.34
2026-06-20 19:01:57,163.5,6.12,1061654528,9,3445.57
2026-06-20 19:01:58,176.4,5.67,1063501824,9,3443.95
2026-06-20 19:01:59,187.3,5.34,1065431040,9,3438.92
2026-06-20 19:02:00,198.8,5.03,1067380736,9,3433.06
2026-06-20 19:02:01,155.0,6.45,1069367296,9,3428.30
2026-06-20 19:02:02,158.0,6.33,1071202304,9,3424.35
2026-06-20 19:02:03,165.3,6.05,1072889856,9,3418.41
2026-06-20 19:02:04,241.3,4.14,1074733056,9,3411.45
2026-06-20 19:02:05,182.6,5.48,1076654080,9,3403.72
2026-06-20 19:02:06,192.3,5.20,1078517760,9,3396.08
2026-06-20 19:02:07,202.8,4.93,1080348672,9,3393.43
2026-06-20 19:02:08,206.2,4.85,1082269696,9,3393.69
2026-06-20 19:02:09,197.0,5.08,1084268544,9,3389.82
2026-06-20 19:02:10,120.1,8.33,1086222336,9,3392.28
2026-06-20 19:02:11,156.7,6.38,1087528960,9,3396.99
2026-06-20 19:02:12,152.5,6.56,1089232896,9,3401.85
2026-06-20 19:02:13,195.2,5.12,1091203072,9,3405.80
