Timestamp,FPS,FrameTime_ms,GC_AllocBytes,ActiveEnemyCount,HeapMB
2026-06-20 18:54:05,1.0,1040.50,993714176,9,1820.23
2026-06-20 18:54:06,12.0,83.22,994820096,9,1799.30
2026-06-20 18:54:07,174.7,5.72,995385344,9,1792.83
2026-06-20 18:54:08,174.9,5.72,995905536,9,1789.43
2026-06-20 18:54:09,158.2,6.32,996212736,9,1786.15
2026-06-20 18:54:10,452.3,2.21,996679680,9,1783.21
2026-06-20 18:54:11,190.5,5.25,997339136,9,1779.94
2026-06-20 18:54:12,473.9,2.11,998281216,9,1846.19
2026-06-20 18:54:13,391.7,2.55,998957056,9,1982.93
2026-06-20 18:54:14,390.2,2.56,999534592,9,2111.51
2026-06-20 18:54:15,184.7,5.41,1000148992,9,2233.45
2026-06-20 18:54:16,180.5,5.54,1001025536,9,2366.85
2026-06-20 18:54:17,159.6,6.27,1001676800,9,2504.41
2026-06-20 18:54:18,184.8,5.41,1002618880,9,2635.26
2026-06-20 18:54:19,188.1,5.32,1004179456,9,2768.53
2026-06-20 18:54:20,171.0,5.85,1005772800,9,2912.57
2026-06-20 18:54:21,93.2,10.74,1007263744,9,3037.66
2026-06-20 18:54:22,348.3,2.87,1008877568,9,3167.90
2026-06-20 18:54:23,377.2,2.65,1010700288,9,3285.44
2026-06-20 18:54:24,468.6,2.13,1012555776,9,3285.74
2026-06-20 18:54:25,256.5,3.90,1014312960,9,3285.18
2026-06-20 18:54:26,93.8,10.66,1016147968,9,3285.37
2026-06-20 18:54:27,270.1,3.70,1018081280,9,3292.03
2026-06-20 18:54:28,347.1,2.88,1020006400,9,3291.90
2026-06-20 18:54:29,179.3,5.58,1021927424,9,3301.11
2026-06-20 18:54:30,147.4,6.79,1023848448,9,3309.31
2026-06-20 18:54:31,201.2,4.97,1025695744,9,3311.73
2026-06-20 18:54:32,111.6,8.96,1027616768,9,3316.12
2026-06-20 18:54:33,98.4,10.17,1029394432,9,3315.17
2026-06-20 18:54:34,118.0,8.47,1031237632,9,3315.21
2026-06-20 18:54:35,130.8,7.64,1033433088,9,3345.74
2026-06-20 18:54:37,138.7,7.21,1035341824,9,3346.21
2026-06-20 18:54:38,129.7,7.71,1037299712,9,3347.41
2026-06-20 18:54:39,115.9,8.63,1039495168,9,3345.37
2026-06-20 18:54:40,129.5,7.72,1041424384,9,3345.95
2026-06-20 18:54:41,69.8,14.32,1043415040,8,3346.96
2026-06-20 18:54:42,124.0,8.07,1045295104,8,3347.01
2026-06-20 18:54:43,99.8,10.02,1047150592,8,3342.61
2026-06-20 18:54:44,126.9,7.88,1049096192,8,3337.96
2026-06-20 18:54:45,143.2,6.99,1051095040,8,3333.64
2026-06-20 18:54:46,123.5,8.10,1053057024,8,3331.45
2026-06-20 18:54:47,121.3,8.24,1055006720,8,3324.47
2026-06-20 18:54:48,131.5,7.61,1056989184,8,3320.92
2026-06-20 18:54:49,127.4,7.85,1058967552,8,3318.83
2026-06-20 18:54:50,143.2,6.98,1060958208,8,3319.49
2026-06-20 18:54:51,133.5,7.49,1062973440,8,3316.17
2026-06-20 18:54:52,214.9,4.65,1064951808,8,3307.63
2026-06-20 18:54:53,198.0,5.05,1066897408,8,3302.33
2026-06-20 18:54:54,203.6,4.91,1068810240,8,3295.69
2026-06-20 18:54:55,184.0,5.43,1070755840,8,3292.79
2026-06-20 18:54:56,194.3,5.15,1072787456,8,3288.56
2026-06-20 18:54:57,179.1,5.58,1074720768,8,3287.37
2026-06-20 18:54:58,101.0,9.90,1076477952,8,3292.47
2026-06-20 18:54:59,172.4,5.80,1078390784,8,3294.75
2026-06-20 18:55:00,151.4,6.60,1080217600,8,3294.67
2026-06-20 18:55:01,191.5,5.22,1082077184,8,3291.82
2026-06-20 18:55:02,233.6,4.28,1083957248,8,3291.04
2026-06-20 18:55:03,175.7,5.69,1085829120,8,3294.02
2026-06-20 18:55:04,175.3,5.71,1087700992,8,3299.57
2026-06-20 18:55:05,187.7,5.33,1089601536,8,3304.52
2026-06-20 18:55:06,195.8,5.11,1091481600,8,3308.31
2026-06-20 18:55:07,73.6,13.59,1093283840,8,3309.03
2026-06-20 18:55:08,422.9,2.36,1094856704,8,3311.38
2026-06-20 18:55:09,380.8,2.63,1096757248,8,3307.41
2026-06-20 18:55:10,565.4,1.77,1098633216,8,3301.29
2026-06-20 18:55:11,122.9,8.14,1100361728,8,3299.05
2026-06-20 18:55:12,198.9,5.03,1101918208,8,3300.09
2026-06-20 18:55:13,76.4,13.08,1103679488,8,3305.59
2026-06-20 18:55:14,328.5,3.04,1105543168,8,3309.43
2026-06-20 18:55:15,168.6,5.93,1107521536,8,3311.49
2026-06-20 18:55:16,231.4,4.32,1109483520,8,3311.66
2026-06-20 18:55:17,196.0,5.10,1111384064,8,3311.49
2026-06-20 18:55:18,197.4,5.07,1113419776,8,3311.34
2026-06-20 18:55:19,3.6,279.73,994136064,8,3309.60
2026-06-20 18:55:20,93.6,10.69,994222080,8,3311.51
2026-06-20 18:55:21,421.6,2.37,994541568,8,3313.71
2026-06-20 18:55:22,71.2,14.04,994852864,8,3316.32
2026-06-20 18:55:23,187.5,5.33,995131392,8,3312.69
2026-06-20 18:55:24,158.5,6.31,995471360,8,3307.62
2026-06-20 18:55:25,152.2,6.57,995758080,8,3301.52
2026-06-20 18:55:26,183.6,5.45,996028416,8,3299.65
2026-06-20 18:55:27,144.3,6.93,996274176,8,3299.41
2026-06-20 18:55:28,137.0,7.30,996573184,8,3299.58
2026-06-20 18:55:29,29.7,33.71,997072896,8,3302.85
2026-06-20 18:55:30,368.6,2.71,997453824,8,3305.10
2026-06-20 18:55:31,258.9,3.86,997888000,8,3310.23
2026-06-20 18:55:32,162.4,6.16,998436864,8,3317.98
2026-06-20 18:55:33,75.5,13.25,998936576,8,3322.96
