Timestamp,AvgFPS,AvgFrameMs,MaxFrameMs,P95FrameMs,GCAvgPerFrame_B,GCMaxPerFrame_B,MonoHeapMB,TotalMemMB,EnemyCount
2026-06-27 18:26:47,105.2,9.50,10.94,10.64,0,0,5.70,181.63,8
2026-06-27 18:26:48,108.7,9.20,12.91,12.56,0,0,5.70,181.77,8
2026-06-27 18:26:49,160.6,6.23,6.88,6.73,0,0,5.70,181.74,8
2026-06-27 18:26:50,155.3,6.44,7.14,7.02,0,0,5.70,181.78,8
2026-06-27 18:26:51,152.9,6.54,7.18,7.09,0,0,5.70,181.74,8
2026-06-27 18:26:52,145.6,6.87,8.18,7.85,0,0,5.70,181.79,8
2026-06-27 18:26:53,119.4,8.38,9.31,8.93,0,0,5.70,181.74,8
2026-06-27 18:26:54,145.0,6.89,9.14,8.83,0,0,5.70,181.79,8
2026-06-27 18:26:55,151.1,6.62,8.37,6.90,0,0,5.73,181.79,8
2026-06-27 18:26:56,113.9,8.78,269.29,6.90,0,0,5.29,194.10,0
2026-06-27 18:26:57,621.5,1.61,5.33,1.97,0,0,5.30,194.02,0
